ID,sectors,regions,ESG_class,ESG_score,final_rating_env,final_normalized_score_env,final_rating_social,final_normalized_score_social,final_rating_governance,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,turnover_2020,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020
1,"Transport, Freight & Storage",Molise,S2,0.778571429,S1,0.928571429,S4,0.5,S2,0.785714286,CC,B,BB,1163.208,1149.349,1030.816,1114.744,1036.888,873.738,89.926,148.969,228.899,583.391,666.737,642.523,2018.525,2001.68,2001.68,-26.1,33.059,28.523,-59.142,10.07,7.774,-5.997,87.853,87.302
2,"Transport, Freight & Storage",Molise,S4,0.592857143,S4,0.5,S3,0.642857143,S3,0.642857143,A,BBB,BBB,1401.728,1170.001,1022.185,1368.14,1100.219,906.23,789.728,673.649,611.343,334.699,273.296,223.539,1497.661,1310.188,1310.188,144.39,72.782,120.94,116.078,62.305,95.386,181.984,127.759,201.086
3,Retail,Molise,S4,0.6,S5,0.357142857,S1,0.928571429,S3,0.642857143,BB,BB,B,4212.369,5785.56,5431.419,3707.246,4919.614,4602.567,383.749,610.191,39.401,3477.032,4631.231,4875.945,18428.766,21726.706,21726.706,820.569,844.751,94.776,371.751,570.786,29.402,845.887,868.997,116.349
4,Wholesale,Molise,S4,0.564285714,S2,0.785714286,S3,0.642857143,S5,0.357142857,BB,BBB,BB,8074.85,7821.208,10911.356,7621.028,7420.058,10575.582,2262.333,2019.628,2495.161,4095.248,5475.521,5590.605,9463.866,15892.698,15892.698,508.414,1358.599,977.218,242.706,836.803,582.868,569.13,1398.229,1015.764
5,"Travel, Personal & Leisure",Molise,S3,0.664285714,S2,0.785714286,S4,0.5,S3,0.642857143,BBB,BB,BB,10000.466,9318.18,6909.512,6292.22,5952.699,4128.981,3634.667,2908.243,2491.431,4375.761,3920.978,3071.118,8477.049,7711.445,7711.445,1161.901,825.696,419.474,746.424,416.812,257.816,1832.73,1380.322,851.776
6,Wholesale,Molise,S3,0.664285714,S5,0.357142857,S1,0.928571429,S2,0.785714286,0,BB,BB,n.a.,3767.67,1749.294,n.a.,2482.42,1652.892,n.a.,643.526,414.111,n.a.,1056.684,149.704,n.a.,2337.813,2337.813,n.a.,406.651,13.539,n.a.,229.415,4.747,n.a.,424.797,29.535
7,Wholesale,Molise,S5,0.414285714,S5,0.357142857,S3,0.642857143,S5,0.357142857,A,A,0,8762.308,1084.415,n.a.,7985.084,260.737,n.a.,2132.878,1000.96,n.a.,6609.397,80.681,n.a.,68511.913,142.005,142.005,1641.943,7.386,n.a.,1131.918,0.96,n.a.,1696.074,8.232,n.a.
8,Business Services,Molise,S2,0.8,S1,0.928571429,S1,0.928571429,S3,0.642857143,B,BB,A,2048.575,1071.209,705.802,1953.378,928.548,608.986,312.152,243.478,215.79,790.095,682.529,446.387,1581.277,1128.78,1128.78,138.3,91.667,158.027,68.671,27.689,136.756,176.602,125.95,176.145
9,Business Services,Molise,S2,0.8,S1,0.928571429,S1,0.928571429,S3,0.642857143,BB,BBB,A,1688.211,699.32,327.602,1256.331,577.628,295.823,317.38,240.076,184.608,674.971,358.006,140.066,1575.637,989.163,989.163,131.12,85.691,144.338,77.3,55.471,124.192,167.074,98.463,149.354
10,"Public Administration, Education, Health Social Services",Molise,S3,0.642857143,S3,0.642857143,,,S3,0.642857143,0,CC,CCC,n.a.,2905.404,261.931,n.a.,2274.428,60.868,n.a.,23.64,50.12,n.a.,81.515,16.706,n.a.,6.646,6.646,n.a.,-28.893,-4.082,n.a.,-111.45,-4.325,n.a.,-28.557,-3.746
11,Business Services,Molise,S4,0.590909091,S3,0.642857143,S4,0.5,,,BBB,BBB,A,2268.046,1558.214,625.861,2161.277,1507.397,605.444,659.933,460.858,243.805,1102.513,587.544,378.793,4350.33,2943.429,2943.429,314.217,251.228,225.548,199.075,217.053,205.12,321.846,n.a.,227.848
12,Property Services,Molise,S4,0.557142857,S3,0.642857143,S6,0.214285714,S3,0.642857143,B,BB,B,40044.969,40004.412,39618.571,18746.945,18903.661,14458.608,10189.701,9580.529,7900.643,15451.198,14187.744,11851.976,3742.305,7521.681,7521.681,876.442,2546.722,1359.566,375.374,1584.465,715.436,1570.902,3348.074,2180.631
13,"Banking, Insurance & Financial Services",Molise,S4,0.614285714,S3,0.642857143,S4,0.5,S3,0.642857143,A,A,A,213.592,201.902,168.546,103.729,66.433,52.355,135.494,130.228,119.078,77.695,71.674,48.14,152.128,131.329,131.329,16.076,17.836,19.575,5.267,11.15,10.359,31.232,28.686,28.795
14,"Banking, Insurance & Financial Services",Molise,S1,0.928571429,S1,0.928571429,,,,,BB,BBB,A,3.598,2.668,3.1,0.798,2.618,3.05,1.66,1.612,1.514,1.938,1.056,1.586,16.79,16.018,16.018,0.056,0.1,0.552,0.049,0.098,0.552,0.087,n.a.,n.a.
15,Business Services,Molise,S4,0.528571429,S3,0.642857143,S7,0.071428571,S3,0.642857143,B,CCC,CCC,1351.15,1310.467,1085.21,883.406,978.003,927.405,70.254,18.326,53.557,1266.496,1292.141,1031.653,94.247,164.132,164.132,76.347,9.313,34.906,57.959,6.033,23.4,79.292,10.792,36.164
16,Property Services,Molise,S2,0.767857143,S1,0.928571429,,,S3,0.642857143,BBB,B,BBB,239.839,140.976,15.745,3.835,0.626,3.652,105.958,6.014,2.115,68.591,121.752,0.42,11.85,9.833,9.833,2.401,4.239,0.546,99.943,3.899,0.315,6.917,8.745,1.069
