ID,ESG_class,final_normalized_score_env,final_normalized_score_social,final_normalized_score_governance,MORE_score_2022,MORE_score_2021,MORE_score_2020,total_assets_2022,total_assets_2021,total_assets_2020,current_assets_2022,current_assets_2021,current_assets_2020,shareholders_funds_2022,shareholders_funds_2021,shareholders_funds_2020,current _liabilities_2022,current _liabilities_2021,current _liabilities_2020,turnover_2022,turnover_2021,EBIT_2022,EBIT_2021,EBIT_2020,net_income_2022,net_income_2021,net_income_2020,EBITDA_2022,EBITDA_2021,EBITDA_2020,sectors_Financials,sectors_Health.Util,sectors_Manufacturing,sectors_Tech.Com,regions_Center,regions_Islands,regions_Northeast,regions_Northwest,regions_South
948,S1,0.928571429,0.5032967033,0.928571429,7,7,8,125612.33834980988,64675.913,59334.072,63532.27164638783,32123.985,30826.241,44583.56873003802,-6283.734,-8312.023,42759.767684410646,41997.798,37875.522,109096.20115209126,85131.426,7082.679908745247,3041.665,-5122.048,5898.350980988593,2155.833,-5873.772,12655.215423387095,5748.524,-2402.362,True,False,False,False,False,False,False,True,False
1887,S1,0.785714286,0.5273597811491109,0.928571429,6,6,6,9520.584,10297.232,12046.349,9520.584,10297.232,12046.349,3686.209,6156.107,7209.243,681.852,423.425,634.538,253.599,0.0,-2431.842,-976.909,-560.942,-2469.898,-1053.136,-628.578,16713.743878548896,11664.737347708895,-554.394,False,False,True,False,False,False,False,True,False
1893,S1,0.928571429,0.5032967033,0.928571429,2,2,2,12412.46,3987.433,2890.064,10485.14,2060.113,962.744,12407.536,3980.929,2887.226,4.924,6.504,2.838,0.0,0.001,-73.394,-72.137,-89.85,8426.605,3427.861,534.155,12655.215423387095,11755.310329931974,-79.879,True,False,False,False,False,False,True,False,False
707,S1,0.928571429,0.928571429,0.928571429,3,4,5,168275.64,187189.783,172885.972,77296.701,73715.442,58106.488,38290.171,20587.413,5177.837,68501.092,79146.69,70443.651,244744.551,223498.028,6800.405,12528.494,7714.97,17702.757,10378.197,7031.583,16675.839,22217.03,16950.286,True,False,False,False,False,False,False,False,True
191,S1,0.928571429,0.928571429,0.928571429,1,2,2,650435.641,498841.676,383198.677,429771.007,318982.579,230211.224,436039.733,287492.899,225930.575,144601.964,122624.262,86629.009,643159.644,480429.203,150417.146,68723.97,54899.251,115688.354,52239.043,37118.322,178165.202,91393.655,72035.963,True,False,False,False,True,False,False,False,False
1586,S1,0.928571429,0.928571429,0.928571429,2,2,2,125612.33834980988,875123.0,794711.0,63532.27164638783,695141.0,621220.0,44583.56873003802,772884.0,737091.0,42759.767684410646,93195.0,51464.4,109096.20115209126,314646.0,7082.679908745247,100441.0,66544.0,5898.350980988593,36451.0,33899.0,12655.215423387095,112198.0,72585.0,True,False,False,False,False,False,False,True,False
1457,S2,0.928571429,0.357142857,0.928571429,4,5,3,89355.48,90800.921,73335.379,8351.2,10684.708,7921.257,46709.574,46782.97,48079.869,9331.499,12146.243,2816.952,6509.03,4327.741,537.863,-809.941,502.48,-73.396,-560.299,539.853,1042.08,-220.156,912.567,True,False,False,False,False,False,False,True,False
1481,S1,0.928571429,0.928571429,0.928571429,5,3,5,19517.566,23317.017,30958.829,10996.93,14834.489,21101.192,14827.195,14755.774,14455.076,3099.941,6022.194,8100.393,1537.74,955.308,-209.16,-1260.206,-2260.852,71.419,300.706,-3037.268,-204.694,-1255.933,-2152.132,False,True,False,False,False,False,False,True,False
1477,S1,0.928571429,0.928571429,0.928571429,3,3,4,324622.1809837838,69305.515,64814.914,136080.51671351353,37944.195,34496.853,99533.6884918919,19907.095,17929.77,119434.61881621621,24073.479,21990.513,339074.7970702703,89286.815,15183.700118918918,3188.306,1145.922,11959.991627027026,2705.874,12.741,33457.57769318182,8361.934,4950.748,False,True,False,False,False,False,False,True,False
1537,S2,0.928571429,0.642857143,0.928571429,4,4,4,120031.0,134325.0,129169.0,58861.0,68843.0,68088.0,34926.0,36098.0,34052.0,60619.0,70204.0,73517.0,93392.0,97728.0,3159.0,4343.0,4523.0,638.0,1817.0,592.0,11723.0,13029.0,12529.0,True,False,False,False,False,False,False,True,False
767,S3,0.642857143,0.5,0.928571429,4,4,3,12673.509,10752.554,9078.387,4890.694,3760.138,2855.925,4767.662,4138.611,4022.726,3979.556,2719.805,2694.259,7062.785,5523.137,777.303,231.175,402.457,466.081,122.645,253.408,1754.9,1143.5,1059.777,False,False,False,True,True,False,False,False,False
525,S1,0.928571429,0.785714286,0.928571429,1,2,5,199504.18,194357.105,158556.83,116737.268,106136.622,60624.42,91533.808,76921.301,42090.978,99579.769,63367.22,107313.723,253058.752,173150.822,130261.176,75195.867,16970.692,63873.274,52686.04,8864.219,140271.076,85391.433,27283.715,True,False,False,False,False,False,True,False,False
1472,S3,0.928571429,0.071428571,0.928571429,7,2,3,8182.367,12006.629,18369.489,8173.853,10772.842,17071.237,330.281,3608.308,5785.801,7852.086,8348.321,12498.688,1732.398,5778.905,-1169.117,3141.535,2869.672,-971.349,2247.008,2098.867,53.164,3706.047,3426.891,True,False,False,False,False,False,False,True,False
1816,S1,0.928571429,0.928571429,0.928571429,4,4,4,73939.526,71116.222,72430.906,60501.192,59685.689,59602.197,22534.214,19993.897,18088.006,41565.505,29465.703,30282.22,97714.058,91240.387,4567.468,4601.212,3486.054,2295.954,1832.5,1050.489,6409.365,7425.68,6397.358,True,False,False,False,False,False,True,False,False
1012,S3,0.357142857,0.4992673992666667,0.928571429,6,6,5,2236.105,2606.036,2941.132,529.0,352.219,290.696,79.18,80.057,90.5,1444.524,1398.588,1379.235,99.04,120.238,31.851,55.482,1.055,31.123,32.557,43.195,65.469,89.1,34.673,False,True,False,False,False,False,True,False,False
1882,S1,0.928571429,0.5032967033,0.928571429,4,3,4,125612.33834980988,195689.259,184121.736,63532.27164638783,146176.663,137330.185,44583.56873003802,95442.312,90889.208,42759.767684410646,67528.891,71582.209,109096.20115209126,210198.481,7082.679908745247,8838.087,8808.48,5898.350980988593,5699.833,6874.745,12655.215423387095,18520.534,15543.096,True,False,False,False,True,False,False,False,False
1817,S1,0.928571429,0.785714286,0.928571429,5,5,8,125612.33834980988,119801.0,149306.0,63532.27164638783,61801.0,96633.0,44583.56873003802,21462.0,-13213.0,42759.767684410646,65739.0,123639.0,109096.20115209126,69458.0,7082.679908745247,-8168.0,-4396.0,5898.350980988593,21754.0,-3009.0,12655.215423387095,229.0,4997.0,True,False,False,False,False,False,True,False,False
885,S2,0.785714286,0.5,0.928571429,3,3,3,18939.806,17808.353,19145.189,15545.86,13949.718,15800.15,11918.871,11161.267,11016.664,6578.15,5387.831,5986.741,15607.787,16738.859,867.688,470.283,750.173,757.601,294.607,716.039,1531.996,946.827,1258.999,False,False,True,False,False,False,False,True,False
705,S3,0.928571429,0.071428571,0.928571429,3,3,2,90164.96244594594,13755.008,5065.715,42231.76272972973,9952.824,4578.998,28526.612756756756,3336.4,1219.417,31406.53935135135,9708.649,3739.161,52246.46078378379,11676.237,-787.9962972972974,2901.325,1225.404,-2359.1967972972975,2116.983,964.238,7005.388067567567,3186.799,1336.825,False,False,False,True,False,False,False,False,True
488,S2,0.785714286,0.5,0.928571429,5,4,6,31104.082,9070.747,2486.86,6132.132,3117.561,589.363,5632.918,4068.215,465.432,2816.246,439.808,21.428,1441.176,556.636,482.352,183.156,-38.268,1439.21,112.943,-34.568,624.221,228.793,-36.961,False,True,False,False,False,False,True,False,False
196,S2,0.785714286,0.4573192239432099,0.928571429,6,5,8,15346.24,14736.427,14497.782,5632.553,5431.023,5179.182,4683.406,5404.163,404.037,9289.728,7614.489,12152.182,4882.791,4461.105,-930.781,-146.489,-489.807,-720.756,0.126,-448.357,370.109,375.174,-2.462,False,False,False,False,False,True,False,False,False
941,S2,0.928571429,0.357142857,0.928571429,6,5,6,10936.628,8377.809,7129.746,5974.616,3804.638,3274.889,2703.33,2223.094,1291.042,3336.36,2675.513,3552.009,7287.988,6853.99,-437.199,4.81,-946.812,-619.764,-817.946,-1072.023,754.321,1127.261,197.099,True,False,False,False,False,False,False,True,False
1396,S2,0.785714286,0.5273597811491109,0.928571429,5,5,5,2194.73,3598.279,5067.537,2144.701,3550.406,5022.119,1966.321,3401.774,4753.899,228.409,196.505,313.638,279.018,217.467,-1459.292,-1383.205,-1549.102,-1512.721,-1385.106,-1597.272,-428.748,-587.39,-736.997,False,False,True,False,False,False,False,True,False
190,S3,0.928571429,0.071428571,0.928571429,4,3,3,495770.881,443157.25,388892.917,394079.347,339532.188,295400.457,181339.511,158381.964,121657.705,280468.056,253149.291,221776.951,665388.246,610396.612,38860.079,51080.157,50860.877,23952.152,34344.171,33074.71,56607.791,66939.219,61472.258,True,False,False,False,True,False,False,False,False
1702,S2,0.785714286,0.928571429,0.928571429,3,6,6,75339.0,188762.0,223404.0,42760.0,75275.0,95065.0,38259.0,42567.0,64102.0,25781.0,85316.0,85012.0,94122.0,232494.0,7902.0,-10842.0,-8350.0,-3801.0,-22127.0,-14400.0,13708.0,12313.0,16492.0,False,False,True,False,False,False,True,False,False
1050,S2,0.642857143,0.5032967033,0.928571429,5,5,2,80212.749,57950.076,48197.231,20984.608,9975.149,12981.684,21067.007,21184.124,29957.173,43650.393,29177.519,11278.619,861.111,410.623,-838.61,-308.614,-66.096,882.885,1226.949,29798.188,-838.486,-308.278,-65.548,True,False,False,False,False,False,True,False,False
1395,S3,0.214285714,0.928571429,0.928571429,1,5,5,19997.502,18992.046,20339.681,7088.745,5486.053,5246.502,11310.217,10753.221,11423.082,2361.623,1064.962,1032.343,5995.611,2107.651,2363.409,-667.311,-789.025,556.996,-669.862,-786.19,3005.992,-511.901,-734.316,False,False,True,False,False,False,False,True,False
1392,S2,0.785714286,0.928571429,0.928571429,2,2,5,144948.33794392523,2387.775,2181.554,82661.31893613708,2056.739,1736.923,54930.01125700934,1583.151,1509.331,58482.62091900312,645.437,531.221,135104.59587383177,1698.164,10401.377903426792,57.312,-382.572,6873.286386292835,73.82,-381.005,16713.743878548896,168.657,-46.425,False,False,True,False,False,False,False,True,False
1197,S3,0.5,0.642857143,0.928571429,6,6,6,755727.0,735960.0,806116.0,518391.0,485357.0,504682.0,132178.0,75039.0,86165.0,389908.0,338737.0,460084.0,1135792.0,1063200.0,1182.0,-2971.0,-3730.0,-5702.0,-8223.0,-6454.0,19420.0,12292.0,12519.0,True,False,False,False,False,False,False,True,False
